name,url,iso3,iso2
Malawi,https://map.vida.place/public/workspace/83ba2c1c-771a-4999-8f88-5d3a80373f95,MWI,MW
Namibia,https://map.vida.place/public/workspace/c0c2fb6d-50d7-4131-81e5-c9774be35c1e,NAM,NA
Niger,https://map.vida.place/public/workspace/db77d80d-f8f3-4432-885c-77ea168f4ec5,NER,NE
Nigeria,https://map.vida.place/public/workspace/a56de352-6c77-4df5-9fce-b38e2534ae63,NGA,NG
Nicaragua,https://map.vida.place/public/workspace/8799fbbc-26a0-4aca-9e64-8cd0ed3c7013,NIC,NI
Pakistan,https://map.vida.place/public/workspace/114d1c69-eb81-4e49-8434-0f038854f4a0,PAK,PK
Papua New Guinea,https://map.vida.place/public/workspace/a3331247-ed52-45c8-b27f-eb09609ccd21,PNG,PG
Rwanda,https://map.vida.place/public/workspace/6de89883-cb3c-4b85-be0a-ad057e8312ce,RWA,RW
Senegal,https://map.vida.place/public/workspace/19789348-65b3-4afd-92d8-30ff502dc2e3,SEN,SN
Solomon Islands,https://map.vida.place/public/workspace/da9e27c8-9502-49e4-b34f-c52b15f38685,SLB,SB
Sierra Leone,https://map.vida.place/public/workspace/2557d782-47cf-44e3-b451-24c83c877446,SLE,SL
Somalia,https://map.vida.place/public/workspace/4d83eb3f-6163-4e75-85d7-cac9435fee37,SOM,SO
South Sudan,https://map.vida.place/public/workspace/090a75d9-1562-447f-bf87-1cd1b24de0ba,SSD,SS
Sao Tome and Principe,https://map.vida.place/public/workspace/17fd3cb2-ea22-41a9-946c-f4776235dc4a,STP,ST
Eswatini,https://map.vida.place/public/workspace/c158d09f-26fc-4509-9a5b-ec00369384ec,SWZ,SZ
Chad,https://map.vida.place/public/workspace/b4dfa01d-4baa-4bd3-a10e-7de718222029,TCD,TD
Togo,https://map.vida.place/public/workspace/00e14742-a5f7-46c0-9bc8-67d7f9d1fd29,TGO,TG
Timor-Leste,https://map.vida.place/public/workspace/9ca8dd17-7fea-4aad-9c3a-041b84ff92d3,TLS,TL
Tanzania,https://map.vida.place/public/workspace/a3a636c4-944b-4bf4-a6ae-61faf2f18f01,TZA,TZ
Uganda,https://map.vida.place/public/workspace/f6995f31-aff2-4f93-91a3-15ff567770c9,UGA,UG
Vanuatu,https://map.vida.place/public/workspace/3036cd62-1a2e-4524-ac8f-b5d049005ca5,VUT,VU
Zimbabwe,https://map.vida.place/public/workspace/ee330c6f-097f-445f-b4aa-21e4bcfa3211,ZWE,ZW
DRC,https://map.vida.place/public/workspace/77abd661-1011-4a72-936f-5944d6629d3e,COD,CD
Zambia,https://map.vida.place/public/workspace/a6a89f8a-f472-45b0-8674-fcf6d7b4c7e3,ZMB,ZM
Burundi,https://map.vida.place/public/workspace/5b04645c-35d1-4f2a-ac14-17b89f5323b8,BDI,BI
Benin,https://map.vida.place/public/workspace/baecd31b-87a6-491b-a09a-7944fc2fabac,BEN,BJ
Djibouti,https://map.vida.place/public/workspace/ed9e9d63-93dd-4eae-b877-db44a346ce69,DJI,DJ
Sudan,https://map.vida.place/public/workspace/c35ba2f6-7fc0-4a04-8c06-88c084ea9be6,SDN,SD
South Africa,https://map.vida.place/public/workspace/a2e8b109-8b3c-40e9-b525-31b388c031f9,ZAF,ZA
Congo,https://map.vida.place/public/workspace/6ef3e414-9e01-44a8-9272-7358a368778a,COG,CG
